"Chinese","Pinyin","English","Part of Speech","HSK Level"
"方向","fāngxiàng","direction; orientation","n.","HSK 3"
"房子","fángzi","house; apartment","n.","HSK 3"
"放","fàng","to put; to place","v.","HSK 3"
"放假","fàngjià","to have a holiday","v.","HSK 3"
"放心","fàngxīn","to feel relieved","v.","HSK 3"
"放学","fàngxué","school ends","v.","HSK 3"
"分开","fēnkāi","to separate; to part","v.","HSK 3"
"风","fēng","wind","n.","HSK 3"
"封","fēng","m.w. for letters","m.w.","HSK 3"
"夫妻","fūqī","married couple","n.","HSK 3"
"服务","fúwù","to serve; service","v.","HSK 3"
"附近","fùjìn","nearby","n.","HSK 3"
"复习","fùxí","to review; revision","v.","HSK 3"
"该","gāi","should; ought to","v.","HSK 3"
"干净","gānjìng","clean; neat","adj.","HSK 3"
"感兴趣","gǎnxìngqù","interested","adj.","HSK 3"
"感到","gǎndào","to feel; to sense","v.","HSK 3"
"感冒","gǎnmào","cold; to catch a cold","n.","HSK 3"
"干","gàn","to do; to work","v.","HSK 3"
"刚","gāng","just; just now","adv.","HSK 3"
"刚才","gāngcái","just now; a moment ago","n.","HSK 3"
"刚刚","gānggāng","just recently","adv.","HSK 3"
"高铁","gāotiě","high-speed rail","n.","HSK 3"
"根据","gēnjù","according to; based on","prep.","HSK 3"
"更","gèng","more; even more","adv.","HSK 3"
"公斤","gōngjīn","kilogram","m.w.","HSK 3"
"公园","gōngyuán","park","n.","HSK 3"
"工作日","gōngzuòrì","weekday","n.","HSK 3"
"故事","gùshi","narrative; story","n.","HSK 3"
"刮","guā","to blow; to scrape","v.","HSK 3"
"关","guān","to close; to shut","v.","HSK 3"
"关机","guānjī","to turn off","v.","HSK 3"
"关系","guānxì","relation; relationship","n.","HSK 3"
"关心","guānxīn","to care about","v.","HSK 3"
"关于","guānyú","about; regarding","prep.","HSK 3"
"关注","guānzhù","to pay attention to","v.","HSK 3"
"国家","guójiā","country; nation","n.","HSK 3"
"过节","guòjié","to celebrate a holiday","v.","HSK 3"
"过去","guòqù","past; before","n.","HSK 3"
"海","hǎi","sea; ocean","n.","HSK 3"
"害怕","hàipà","to be afraid; scared","v.","HSK 3"
"好多","hǎoduō","many; quite a lot","adj.","HSK 3"
"好久","hǎojiǔ","quite a while","adj.","HSK 3"
"好像","hǎoxiàng","as if; to seem like","v.","HSK 3"
"号码","hàomǎ","number","n.","HSK 3"
"河","hé","river","n.","HSK 3"
"合适","héshì","suitable; fitting","adj.","HSK 3"
"黑板","hēibǎn","blackboard","n.","HSK 3"
"红绿灯","hóng-lǜdēng","traffic light","n.","HSK 3"
"后来","hòulái","afterwards; later","n.","HSK 3"
"后年","hòunián","the year after next","n.","HSK 3"
"后天","hòutiān","day after tomorrow","n.","HSK 3"
"护照","hùzhào","passport","n.","HSK 3"
"花园","huāyuán","garden","n.","HSK 3"
"画家","huàjiā","painter","n.","HSK 3"
"欢迎","huānyíng","to welcome; welcome","v.","HSK 3"
"还","huán","to return; to give back","v.","HSK 3"
"环境","huánjìng","environment","n.","HSK 3"
"换","huàn","to change; to exchange","v.","HSK 3"
"黄色","huángsè","yellow","n.","HSK 3"
"回答","huídá","to reply; to answer","v.","HSK 3"
"会","huì","meeting","n.","HSK 3"
"会议","huìyì","meeting; conference","n.","HSK 3"
"或","huò","maybe; perhaps","conj.","HSK 3"
"或者","huòzhě","or; possibly","conj.","HSK 3"
"鸡","jī","chicken; fowl","n.","HSK 3"
"几乎","jīhū","almost","adv.","HSK 3"
"机会","jīhuì","opportunity; chance","n.","HSK 3"
"极","jí","extremely","adv.","HSK 3"
"急","jí","urgent; pressing","adj.","HSK 3"
"记","jì","to record; to memorize","v.","HSK 3"
"季","jì","season","n.","HSK 3"
"季节","jìjié","season","n.","HSK 3"
"加","jiā","to add; plus","v.","HSK 3"
"假期","jiàqī","vacation","n.","HSK 3"
"坚持","jiānchí","to persist; to stick to","v.","HSK 3"
"检查","jiǎnchá","to examine; to inspect","v.","HSK 3"
"简单","jiǎndān","simple; not complicated","adj.","HSK 3"
"检票","jiǎnpiào","to check tickets","v.","HSK 3"
"健康","jiànkāng","health; healthy","adj.","HSK 3"
"见面","jiànmiàn","to meet","v.","HSK 3"
"讲","jiǎng","to speak; to explain","v.","HSK 3"
"角","jiǎo","angle; m.w.","m.w.","HSK 3"
"脚","jiǎo","foot; leg","n.","HSK 3"
"接","jiē","to receive; to pick up","v.","HSK 3"
"街","jiē","street","n.","HSK 3"
"节","jié","festival; m.w. for sections","m.w.","HSK 3"
"结婚","jiéhūn","to marry; to get married","v.","HSK 3"
"节目","jiémù","program; item","n.","HSK 3"
"节日","jiérì","holiday; festival","n.","HSK 3"
"结束","jiéshù","to finish; to end","v.","HSK 3"
"解决","jiějué","to solve; to resolve","v.","HSK 3"
"姐妹","jiěmèi","sisters; siblings","n.","HSK 3"
"借","jiè","to lend; to borrow","v.","HSK 3"
"斤","jīn","catty (unit of weight)","m.w.","HSK 3"
"经过","jīngguò","to pass; to go through","v.","HSK 3"
"经理","jīnglǐ","manager; director","n.","HSK 3"
"久","jiǔ","long (time)","adj.","HSK 3"
"酒","jiǔ","wine; liquor","n.","HSK 3"
"旧","jiù","old; former","adj.","HSK 3"
"句","jù","m.w. for sentences","m.w.","HSK 3"
"句子","jùzi","sentence","n.","HSK 3"
"决定","juédìng","to decide; decision","v.","HSK 3"
"卡","kǎ","card; to be stuck","n.","HSK 3"
