"Chinese","Pinyin","English","Part of Speech","HSK Level"
"啊","a","ah; sentence particle","part.","HSK 2"
"爱好","àihào","to like; to enjoy; interest","v./n.","HSK 2"
"白色","báisè","white","n.","HSK 2"
"班","bān","class; shift","n.","HSK 2"
"帮","bāng","to help; to assist","v.","HSK 2"
"帮忙","bāngmáng","to help; to lend a hand","v.","HSK 2"
"包","bāo","bag; package; to wrap","v./n.","HSK 2"
"本子","běnzi","notebook","n.","HSK 2"
"比","bǐ","than; to compare","prep./v.","HSK 2"
"笔","bǐ","pen","n.","HSK 2"
"别","bié","don't","adv.","HSK 2"
"不错","búcuò","not bad; correct","adj.","HSK 2"
"不好意思","bùhǎoyìsi","excuse me; sorry","interj.","HSK 2"
"长","cháng","long","adj.","HSK 2"
"车站","chēzhàn","station; bus stop","n.","HSK 2"
"出","chū","to go out; to come out","v.","HSK 2"
"出国","chūguó","to go abroad","v.","HSK 2"
"出来","chūlái","to come out","v.","HSK 2"
"出门","chūmén","to go out; to leave home","v.","HSK 2"
"出去","chūqù","to go out","v.","HSK 2"
"床","chuáng","bed","n.","HSK 2"
"词","cí","word","n.","HSK 2"
"次","cì","m.w. for events; time","m.w.","HSK 2"
"从","cóng","from","prep.","HSK 2"
"从小","cóngxiǎo","from childhood","adv.","HSK 2"
"错","cuò","wrong; mistake","adj.","HSK 2"
"打","dǎ","to hit; to do","v.","HSK 2"
"打车","dǎchē","to take a taxi","v.","HSK 2"
"打开","dǎkāi","to open; to turn on","v.","HSK 2"
"但","dàn","but","conj.","HSK 2"
"但是","dànshì","but","conj.","HSK 2"
"得","de","complement particle","part.","HSK 2"
"地","de","adverbial particle","part.","HSK 2"
"等","děng","to wait; and so on","v.","HSK 2"
"地铁","dìtiě","subway","n.","HSK 2"
"点","diǎn","to order (food)","v.","HSK 2"
"懂","dǒng","to understand","v.","HSK 2"
"动","dòng","to move","v.","HSK 2"
"饭馆","fànguǎn","restaurant","n.","HSK 2"
"飞","fēi","to fly","v.","HSK 2"
"高","gāo","high; tall","adj.","HSK 2"
"高中","gāozhōng","high school","n.","HSK 2"
"告诉","gàosu","to tell; to inform","v.","HSK 2"
"个子","gèzi","height; stature","n.","HSK 2"
"跟","gēn","with; and","prep./conj.","HSK 2"
"公交车","gōngjiāochē","bus","n.","HSK 2"
"过","guò","to cross; to pass; to live","v.","HSK 2"
"过","guo","experienced-action particle","part.","HSK 2"
"过来","guòlái","to come over","v.","HSK 2"
"过年","guònián","to celebrate New Year","v.","HSK 2"
"过去","guòqù","to go over; to pass","v.","HSK 2"
